    PID TTY          TIME CMD
    191 ?        00:00:00 irq/177-vc4 hdmi hpd disconnected
    192 ?        00:00:00 cec-vc4-hdmi-1
    193 ?        00:00:00 irq/178-vc4 hdmi cec rx
    194 ?        00:00:00 irq/179-vc4 hdmi cec tx
    195 ?        00:00:00 card1-crtc0
    196 ?        00:00:00 card1-crtc1
    197 ?        00:00:00 card1-crtc2
    198 ?        00:00:00 card1-crtc3
    199 ?        00:00:00 kworker/u17:2-kvfree_rcu_reclaim
    225 ?        00:00:00 jbd2/mmcblk0p2-8
    226 ?        00:00:00 kworker/R-ext4-rsv-conversion
    245 ?        00:00:00 kworker/R-mld
    246 ?        00:00:00 kworker/R-ipv6_addrconf
    247 ?        00:00:00 kworker/u16:1-v3d_render
    262 ?        00:00:00 kworker/1:2H
    269 ?        00:00:00 kworker/0:2H-kblockd
    349 ?        00:00:00 systemd-journal
    355 ?        00:00:00 kworker/3:2H-kblockd
    365 ?        00:00:00 kworker/u19:3-async
    374 ?        00:00:00 kworker/2:2H-kblockd
    399 ?        00:00:00 systemd-timesyn
    417 ?        00:00:00 systemd-udevd
    603 ?        00:00:00 irq/185-1000800000.codec
    636 ?        00:00:00 kworker/R-cfg80211
    648 ?        00:00:00 kworker/R-brcmf_wq/mmc1:0001:1
    650 ?        00:00:00 brcmf_wdog/mmc1:0001:1
    711 ?        00:00:00 kworker/u21:1-hci0
    712 ?        00:00:00 kworker/u20:2-kvfree_rcu_reclaim
    718 ?        00:00:00 kworker/u21:2-hci0
    743 ?        00:00:00 rpcbind
    802 ?        00:00:00 accounts-daemon
    804 ?        00:00:00 avahi-daemon
    805 ?        00:00:00 bluetoothd
    806 ?        00:00:00 dbus-daemon
    811 ?        00:00:00 polkitd
    823 ?        00:00:00 systemd-logind
    826 ?        00:00:00 avahi-daemon
    827 ?        00:00:00 udisksd
    865 ?        00:00:00 cron
    889 ?        00:00:00 blkmapd
    919 ?        00:00:00 NetworkManager
    923 ?        00:00:00 wpa_supplicant
    954 ?        00:00:00 ModemManager
    958 ?        00:00:00 krfcommd
   1079 ?        00:00:00 cupsd
   1082 ?        00:00:00 lightdm
   1100 ?        00:00:00 login
   1102 ?        00:00:00 lightdm
   1103 ?        00:00:00 agetty
   1111 ?        00:00:00 systemd
   1113 ?        00:00:00 (sd-pam)
   1133 ?        00:00:00 dbus-daemon
   1134 ?        00:00:00 pipewire
   1135 ?        00:00:01 labwc
   1136 ?        00:00:00 pipewire
   1137 ?        00:00:00 wireplumber
   1142 ?        00:00:00 pipewire-pulse
   1153 ?        00:00:00 mpris-proxy
   1193 ?        00:00:00 ssh-agent
   1252 ?        00:00:00 xdg-permission-
   1258 ?        00:00:00 kworker/u16:2-v3d_bin
   1266 ?        00:00:00 lwrespawn
   1267 ?        00:00:00 lwrespawn
   1268 ?        00:00:00 kanshi
   1303 ?        00:00:00 polkit-mate-aut
   1308 ?        00:00:00 systemd-inhibit
   1318 ?        00:00:00 pcmanfm-pi
   1319 ?        00:00:00 wf-panel-pi
   1320 ?        00:00:00 pcmanfm
   1322 ?        00:00:00 gtk-nop
   1361 ?        00:00:00 gvfsd
   1368 ?        00:00:00 gvfsd-fuse
   1391 ?        00:00:00 xdg-desktop-por
   1396 ?        00:00:00 xdg-document-po
   1397 ?        00:00:00 gvfs-udisks2-vo
   1406 ?        00:00:00 fusermount3
   1414 ?        00:00:00 xdg-desktop-por
   1417 ?        00:00:00 gvfs-mtp-volume
   1427 ?        00:00:00 gvfs-goa-volume
   1435 ?        00:00:00 gvfs-gphoto2-vo
   1442 ?        00:00:00 gvfs-afc-volume
   1448 ?        00:00:00 xdg-desktop-por
   1454 ?        00:00:00 gvfsd-trash
   1488 tty1     00:00:00 bash
   1578 ?        00:00:00 cups-browsed
   1604 ?        00:00:01 x-terminal-emul
   1616 pts/0    00:00:00 bash
   1660 pts/0    00:00:00 ps
